row.ID,Molecule,Molecular Classification,Treatment,Peak_Area,Treatment_groups,Peak_Area_mean,Treatment,Bacteria,Competition?
360,Leucinic acid,360 Trialkylamines,pink_host1,10618.855,Roseomonas+host,8.665881,Host-Microbiome Feedback,Roseomonas sp.,No
365,No ID 365,365 Dipeptides,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
578,No ID 578,578 Alpha amino acids,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
581,No ID 581,581 Proline and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
582,Glutamine,582 Proline and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
583,L-asparagine,583 Alpha amino acids,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
592,L-Histidine,592 Histidine and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
360,Leucinic acid,360 Trialkylamines,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
365,No ID 365,365 Dipeptides,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
578,No ID 578,578 Alpha amino acids,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
581,No ID 581,581 Proline and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
582,Glutamine,582 Proline and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
583,L-asparagine,583 Alpha amino acids,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
592,L-Histidine,592 Histidine and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
360,Leucinic acid,360 Trialkylamines,host1,0,host alone,0,Host-Microbiome Feedback,Control,No
365,No ID 365,365 Dipeptides,host1,0,host alone,0,Host-Microbiome Feedback,Control,No
578,No ID 578,578 Alpha amino acids,host1,4054.912,host alone,8.964137,Host-Microbiome Feedback,Control,No
581,No ID 581,581 Proline and derivatives,host1,87168.71,host alone,11.397645,Host-Microbiome Feedback,Control,No
582,Glutamine,582 Proline and derivatives,host1,100296.25,host alone,11.599915,Host-Microbiome Feedback,Control,No
583,L-asparagine,583 Alpha amino acids,host1,59284.46,host alone,11.105471,Host-Microbiome Feedback,Control,No
592,L-Histidine,592 Histidine and derivatives,host1,40369.11,host alone,10.572283,Host-Microbiome Feedback,Control,No
360,Leucinic acid,360 Trialkylamines,innate1,0,DOM alone,0,Innate Host Selection,Control,No
365,No ID 365,365 Dipeptides,innate1,0,DOM alone,0,Innate Host Selection,Control,No
578,No ID 578,578 Alpha amino acids,innate1,2011.304,DOM alone,8.345537,Innate Host Selection,Control,No
581,No ID 581,581 Proline and derivatives,innate1,30322.33,DOM alone,10.7689,Innate Host Selection,Control,No
582,Glutamine,582 Proline and derivatives,innate1,39523.98,DOM alone,10.997856,Innate Host Selection,Control,No
583,L-asparagine,583 Alpha amino acids,innate1,28206.52,DOM alone,10.552955,Innate Host Selection,Control,No
592,L-Histidine,592 Histidine and derivatives,innate1,26976.496,DOM alone,11.29954,Innate Host Selection,Control,No
360,Leucinic acid,360 Trialkylamines,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
365,No ID 365,365 Dipeptides,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
578,No ID 578,578 Alpha amino acids,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
581,No ID 581,581 Proline and derivatives,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
582,Glutamine,582 Proline and derivatives,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
583,L-asparagine,583 Alpha amino acids,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
592,L-Histidine,592 Histidine and derivatives,white_host1,0,Curvibacter+host,0,Host-Microbiome Feedback,Curvibacter sp.,No
360,Leucinic acid,360 Trialkylamines,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
365,No ID 365,365 Dipeptides,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
578,No ID 578,578 Alpha amino acids,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
581,No ID 581,581 Proline and derivatives,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
582,Glutamine,582 Proline and derivatives,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
583,L-asparagine,583 Alpha amino acids,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
592,L-Histidine,592 Histidine and derivatives,white_innate1,0,Curvibacter+DOM,0,Innate Host Selection,Curvibacter sp.,No
360,Leucinic acid,360 Trialkylamines,mixed_host1,6052.474,both+host,12.003022,Host-Microbiome Feedback,Mixed,Yes
365,No ID 365,365 Dipeptides,mixed_host1,0,both+host,9.590923,Host-Microbiome Feedback,Mixed,Yes
578,No ID 578,578 Alpha amino acids,mixed_host1,0,both+host,7.910976,Host-Microbiome Feedback,Mixed,Yes
581,No ID 581,581 Proline and derivatives,mixed_host1,0,both+host,0,Host-Microbiome Feedback,Mixed,Yes
582,Glutamine,582 Proline and derivatives,mixed_host1,0,both+host,0,Host-Microbiome Feedback,Mixed,Yes
583,L-asparagine,583 Alpha amino acids,mixed_host1,0,both+host,0,Host-Microbiome Feedback,Mixed,Yes
592,L-Histidine,592 Histidine and derivatives,mixed_host1,0,both+host,9.466934,Host-Microbiome Feedback,Mixed,Yes
360,Leucinic acid,360 Trialkylamines,mixed_innate1,28545.598,both+DOM,9.160751,Innate Host Selection,Mixed,Yes
365,No ID 365,365 Dipeptides,mixed_innate1,205832.27,both+DOM,11.136219,Innate Host Selection,Mixed,Yes
578,No ID 578,578 Alpha amino acids,mixed_innate1,0,both+DOM,8.974471,Innate Host Selection,Mixed,Yes
581,No ID 581,581 Proline and derivatives,mixed_innate1,0,both+DOM,5.716508,Innate Host Selection,Mixed,Yes
582,Glutamine,582 Proline and derivatives,mixed_innate1,0,both+DOM,6.627333,Innate Host Selection,Mixed,Yes
583,L-asparagine,583 Alpha amino acids,mixed_innate1,0,both+DOM,7.388692,Innate Host Selection,Mixed,Yes
592,L-Histidine,592 Histidine and derivatives,mixed_innate1,0,both+DOM,9.837839,Innate Host Selection,Mixed,Yes