row.ID,Treatment,Peak_Area,Treatment_groups,Peak_Area_raw,Peak_Area_mean_raw
669,mixed_host,778211.25,both+host,742672.837,778211.25
669,mixed_innate,831037.3,both+DOM,727460.2,831037.3
669,white_host,428522.5,Curvibacter+host,544031.063,428522.5
669,white_innate,479140.53,Curvibacter+DOM,517852.917,479140.53
669,pink_host,730169.1,Roseomonas+host,618902.993,730169.1
669,pink_innate,624205,Roseomonas+DOM,663130.667,624205
669,host,630015.4,host alone,645116.173,630015.4
669,innate,829855.25,DOM alone,671539.063,829855.25
602,mixed_host,6216.782,both+host,4203.706,6216.782
602,mixed_innate,758618.94,both+DOM,656359.147,758618.94
602,white_host,372268.34,Curvibacter+host,519935.293,372268.34
602,white_innate,363622.38,Curvibacter+DOM,391734.103,363622.38
602,pink_host,1282.425,Roseomonas+host,427.475,1282.425
602,pink_innate,311927.72,Roseomonas+DOM,290033.667,311927.72
602,host,658505.8,host alone,747321.717,658505.8
602,innate,658243.06,DOM alone,509275.173,658243.06
571,mixed_host,12167.627,both+host,18169.726,12167.627
571,mixed_innate,14979.535,both+DOM,14754.752,14979.535
571,white_host,184301.75,Curvibacter+host,208146.11,184301.75
571,white_innate,8990.938,Curvibacter+DOM,10767.996,8990.938
571,pink_host,19952.479,Roseomonas+host,20423.623,19952.479
571,pink_innate,5578.631,Roseomonas+DOM,6114.41,5578.631
571,host,332795.5,host alone,389144.357,332795.5
571,innate,674673.75,DOM alone,490657.477,674673.75
558,mixed_host,4507529.5,both+host,5120835.833,4507529.5
558,mixed_innate,395337.22,both+DOM,347680.817,395337.22
558,white_host,437416.84,Curvibacter+host,230168.387,437416.84
558,white_innate,127232.984,Curvibacter+DOM,124683.401,127232.984
558,pink_host,4679600,Roseomonas+host,4444961.333,4679600
558,pink_innate,718318,Roseomonas+DOM,886474.033,718318
558,host,17751.03,host alone,50403.813,17751.03
558,innate,100179.72,DOM alone,100140.008,100179.72
437,mixed_host,125223.9,both+host,144198.123,125223.9
437,mixed_innate,221128.95,both+DOM,234208.67,221128.95
437,white_host,276457.22,Curvibacter+host,338808.76,276457.22
437,white_innate,285596.75,Curvibacter+DOM,299478.393,285596.75
437,pink_host,145723.61,Roseomonas+host,159661.95,145723.61
437,pink_innate,20658.389,Roseomonas+DOM,35482.25,20658.389
437,host,123118.99,host alone,153984.277,123118.99
437,innate,174611.38,DOM alone,142869.933,174611.38
435,mixed_host,884708.06,both+host,1082923.473,884708.06
435,mixed_innate,1543656.5,both+DOM,1368416.933,1543656.5
435,white_host,800687.25,Curvibacter+host,962408.75,800687.25
435,white_innate,921816.75,Curvibacter+DOM,957920.433,921816.75
435,pink_host,943913.94,Roseomonas+host,866730.327,943913.94
435,pink_innate,902288.8,Roseomonas+DOM,1034415.867,902288.8
435,host,949254,host alone,1062660.433,949254
435,innate,1353723.4,DOM alone,1157525.6,1353723.4
417,mixed_host,8807.07,both+host,5331.158,8807.07
417,mixed_innate,0,both+DOM,1342.095,0
417,white_host,671258.25,Curvibacter+host,717093.017,671258.25
417,white_innate,869247.7,Curvibacter+DOM,887071.133,869247.7
417,pink_host,2394.107,Roseomonas+host,2030.936,2394.107
417,pink_innate,0,Roseomonas+DOM,0,0
417,host,823607.25,host alone,939029.417,823607.25
417,innate,1342082.8,DOM alone,1176184.567,1342082.8
399,mixed_host,489729.1,both+host,448929.293,489729.1
399,mixed_innate,775627.9,both+DOM,622604.98,775627.9
399,white_host,2483097.5,Curvibacter+host,3069113.333,2483097.5
399,white_innate,250917.17,Curvibacter+DOM,232180.37,250917.17
399,pink_host,436887,Roseomonas+host,337478.213,436887
399,pink_innate,237857.7,Roseomonas+DOM,313976.36,237857.7
399,host,3129934,host alone,3703684.6,3129934
399,innate,80592.72,DOM alone,881818.84,80592.72
358,mixed_host,1366121.8,both+host,1474694.2,1366121.8
358,mixed_innate,1995083.6,both+DOM,1464641.4,1995083.6
358,white_host,2824701,Curvibacter+host,3191145.333,2824701
358,white_innate,1598461.9,Curvibacter+DOM,1621603.567,1598461.9
358,pink_host,920613.6,Roseomonas+host,980427.217,920613.6
358,pink_innate,742628.44,Roseomonas+DOM,818401.6,742628.44
358,host,2366008.5,host alone,2557588.067,2366008.5
358,innate,2342894.5,DOM alone,2169564.067,2342894.5
356,mixed_host,936740.75,both+host,1031609.5,936740.75
356,mixed_innate,1442189.4,both+DOM,1044188.947,1442189.4
356,white_host,2085575.8,Curvibacter+host,2366817.6,2085575.8
356,white_innate,1149427.5,Curvibacter+DOM,1168593.767,1149427.5
356,pink_host,627309.6,Roseomonas+host,668019.547,627309.6
356,pink_innate,516730.8,Roseomonas+DOM,564739.533,516730.8
356,host,1696807,host alone,1829781.533,1696807
356,innate,1660876.2,DOM alone,1535363.033,1660876.2
342,mixed_host,101600.664,both+host,203943.148,101600.664
342,mixed_innate,223244.78,both+DOM,205270.913,223244.78
342,white_host,0,Curvibacter+host,97719.187,0
342,white_innate,9166.964,Curvibacter+DOM,47801.083,9166.964
342,pink_host,138963.02,Roseomonas+host,195760.2,138963.02
342,pink_innate,36034.69,Roseomonas+DOM,39484.234,36034.69
342,host,5620.15,host alone,12729.51,5620.15
342,innate,8665.795,DOM alone,7102.069,8665.795
317,mixed_host,58947.164,both+host,39085.903,58947.164
317,mixed_innate,101303.74,both+DOM,92641.655,101303.74
317,white_host,40573.08,Curvibacter+host,198028.583,40573.08
317,white_innate,163546.7,Curvibacter+DOM,125329.223,163546.7
317,pink_host,20040.764,Roseomonas+host,14405.995,20040.764
317,pink_innate,87409.32,Roseomonas+DOM,89558.624,87409.32
317,host,52961.305,host alone,143468.463,52961.305
317,innate,40888.78,DOM alone,95371.73,40888.78
275,mixed_host,10785.433,both+host,10152.943,10785.433
275,mixed_innate,0,both+DOM,0,0
275,white_host,29445.152,Curvibacter+host,73795.835,29445.152
275,white_innate,23492.225,Curvibacter+DOM,17582.543,23492.225
275,pink_host,6664.589,Roseomonas+host,6462.867,6664.589
275,pink_innate,0,Roseomonas+DOM,0,0
275,host,133650.94,host alone,210694.153,133650.94
275,innate,184473.17,DOM alone,131214.42,184473.17
270,mixed_host,2071270.8,both+host,2712124.367,2071270.8
270,mixed_innate,814542.06,both+DOM,684496.467,814542.06
270,white_host,960018,Curvibacter+host,1196615.6,960018
270,white_innate,514771.6,Curvibacter+DOM,543094.93,514771.6
270,pink_host,2704002,Roseomonas+host,2815899.933,2704002
270,pink_innate,625574.1,Roseomonas+DOM,678656.9,625574.1
270,host,794111.5,host alone,1004797.9,794111.5
270,innate,695364.2,DOM alone,661532.133,695364.2
261,mixed_host,478402.84,both+host,1133309.39,478402.84
261,mixed_innate,651189.75,both+DOM,643800.55,651189.75
261,white_host,889931.94,Curvibacter+host,926396.747,889931.94
261,white_innate,660781,Curvibacter+DOM,1020983.8,660781
261,pink_host,59649.582,Roseomonas+host,446632.887,59649.582
261,pink_innate,1312908.9,Roseomonas+DOM,1769046.467,1312908.9
261,host,873465.94,host alone,569800.063,873465.94
261,innate,3546002.8,DOM alone,2082574.933,3546002.8
260,mixed_host,276971,both+host,412020.15,276971
260,mixed_innate,642083.3,both+DOM,551511.647,642083.3
260,white_host,719686.8,Curvibacter+host,810485.4,719686.8
260,white_innate,456011.66,Curvibacter+DOM,478212.127,456011.66
260,pink_host,306201.22,Roseomonas+host,326866.147,306201.22
260,pink_innate,486739.66,Roseomonas+DOM,418220.653,486739.66
260,host,794566.75,host alone,835583.583,794566.75
260,innate,578203.94,DOM alone,534718.457,578203.94
226,mixed_host,227211.7,both+host,290648.023,227211.7
226,mixed_innate,168673.78,both+DOM,120062.03,168673.78
226,white_host,352248.66,Curvibacter+host,283764.95,352248.66
226,white_innate,126231.46,Curvibacter+DOM,132542.518,126231.46
226,pink_host,269891.28,Roseomonas+host,286778.823,269891.28
226,pink_innate,166676.89,Roseomonas+DOM,169678.33,166676.89
226,host,321086.53,host alone,324850.843,321086.53
226,innate,124793.125,DOM alone,143941.462,124793.125
221,mixed_host,154753.92,both+host,102460.86,154753.92
221,mixed_innate,26767.36,both+DOM,28470.122,26767.36
221,white_host,260161.36,Curvibacter+host,181307.507,260161.36
221,white_innate,24446.785,Curvibacter+DOM,23669.483,24446.785
221,pink_host,64065.81,Roseomonas+host,52233.172,64065.81
221,pink_innate,37208.945,Roseomonas+DOM,47259.07,37208.945
221,host,655124,host alone,595656.147,655124
221,innate,385260.28,DOM alone,351019.53,385260.28
217,mixed_host,336673.47,both+host,431895.22,336673.47
217,mixed_innate,445336.5,both+DOM,318333.313,445336.5
217,white_host,128805.09,Curvibacter+host,189437.983,128805.09
217,white_innate,153363.33,Curvibacter+DOM,250722.36,153363.33
217,pink_host,363826.38,Roseomonas+host,344420.427,363826.38
217,pink_innate,179929.03,Roseomonas+DOM,203322.24,179929.03
217,host,162972.97,host alone,128078.88,162972.97
217,innate,94757.98,DOM alone,92474.683,94757.98
209,mixed_host,32809.855,both+host,37105.593,32809.855
209,mixed_innate,76730.13,both+DOM,68611.65,76730.13
209,white_host,70081.48,Curvibacter+host,114134.59,70081.48
209,white_innate,50827.777,Curvibacter+DOM,48670.625,50827.777
209,pink_host,31703.951,Roseomonas+host,29945.65,31703.951
209,pink_innate,51801.27,Roseomonas+DOM,52848.852,51801.27
209,host,788739.25,host alone,424987.287,788739.25
209,innate,64937.836,DOM alone,63695.439,64937.836
134,mixed_host,68008.555,both+host,121004.536,68008.555
134,mixed_innate,2558.527,both+DOM,38266.529,2558.527
134,white_host,201950.44,Curvibacter+host,259942.173,201950.44
134,white_innate,225185.53,Curvibacter+DOM,87528.203,225185.53
134,pink_host,11216.462,Roseomonas+host,127719.301,11216.462
134,pink_innate,3121.003,Roseomonas+DOM,57385.53,3121.003
134,host,2856.823,host alone,81247.851,2856.823
134,innate,163082.2,DOM alone,171911.337,163082.2
121,mixed_host,207167.88,both+host,72868.956,207167.88
121,mixed_innate,18726.6,both+DOM,17772.798,18726.6
121,white_host,3104.172,Curvibacter+host,43664.647,3104.172
121,white_innate,9219.522,Curvibacter+DOM,39052.822,9219.522
121,pink_host,4205.657,Roseomonas+host,4033.453,4205.657
121,pink_innate,154700.4,Roseomonas+DOM,94797.088,154700.4
121,host,94804.61,host alone,65269.303,94804.61
121,innate,208687.64,DOM alone,207762.96,208687.64
116,mixed_host,396157,both+host,135735.865,396157
116,mixed_innate,58330.508,both+DOM,39293.212,58330.508
116,white_host,4076.518,Curvibacter+host,88466.765,4076.518
116,white_innate,28001.148,Curvibacter+DOM,90022.145,28001.148
116,pink_host,5071.068,Roseomonas+host,4229.499,5071.068
116,pink_innate,508035.06,Roseomonas+DOM,510096.913,508035.06
116,host,281730.34,host alone,186306.619,281730.34
116,innate,376700.44,DOM alone,400674.597,376700.44
87,mixed_host,1148867.9,both+host,389111.179,1148867.9
87,mixed_innate,3902.194,both+DOM,4176.345,3902.194
87,white_host,1927.293,Curvibacter+host,262949.848,1927.293
87,white_innate,6709.51,Curvibacter+DOM,236034.566,6709.51
87,pink_host,5159.8,Roseomonas+host,9152.921,5159.8
87,pink_innate,848533.7,Roseomonas+DOM,1050842.967,848533.7
87,host,715055,host alone,534345.882,715055
87,innate,1112223.2,DOM alone,1094912.247,1112223.2
62,mixed_host,30890.818,both+host,84604.231,30890.818
62,mixed_innate,52765.543,both+DOM,86816.186,52765.543
62,white_host,105871.62,Curvibacter+host,91977.78,105871.62
62,white_innate,185341.7,Curvibacter+DOM,125710.101,185341.7
62,pink_host,319663.28,Roseomonas+host,281513.657,319663.28
62,pink_innate,1956.257,Roseomonas+DOM,24451.353,1956.257
62,host,3915.28,host alone,26872.979,3915.28
62,innate,24231.443,DOM alone,35991.569,24231.443